name,category,address,roadAddress,rate,review,home_url
현정이네식당,"한식>백반,가정식",경기도 수원시 장안구 파장동 595-16,경기도 수원시 장안구 경수대로1031번길 8 한국일보,0.0,,https://m.place.naver.com/restaurant/1632558683/home
이목식당,"한식>백반,가정식",경기도 수원시 장안구 이목동 210-10,경기도 수원시 장안구 장안로 433,4.89,"사장님이 그날 그날 좋은메뉴도 추천해주시고 술 종류도 엄청 다양해
서 고르는 재미랑 맛보는 재미가 있습니당~ 조개탕 먹었는데 진짜 겁
나 맛있었어요 흑흑 파스타도 꼭 넣어드세용~ 번창하세요옹ㅇ...<>술 종류도 많아서 새로운 걸 먹어볼 수 있었어요🥹🥹 음식들도 정말 맛있고 사장님께서 추천을 잘 해주셔서 맛있게 먹었습니다🥺🥺💗 조만간 또 오고싶어요....😳👍👍<>회사옆에 있어 자주 가는 카레 맛집이에요 :)
8,500원 가격에 카레 퀄리티 진짜 좋아요!
매장도 넓고 쾌적해서 엄청 좋습니다💕<>사장님이 진심 맛천재..,, 진짜 모든 음식이 향+간+산미+식감 모든 밸런스가 완벽해요..,,, 맛있는 안주에 맛있는 술 먹고싶을 때 완전 추천*100입니다<>런치 스프카레 맛있어요!
생각보다 든든함도 오래가네요.
종종 갈 것 같아요.<>전통주 종류가 많고 가격이 저렴해요 맛도 너무 좋아요👍 사장님이 친절하게 설명해주시고 추천도 잘 해주십니다! 조개탕은 꼭 드세요 인생 조개탕입니다. 6천원 추가하면 봉골레 파스타도 먹을 수 있어요😋<>감바스 맛집^^~~~
<>술 종류도 엄청 많고 음식도 다 맛있어요! 사장님이 음식이랑 잘 어울리는 술도 추천해주셔서 좋았어요😍<>감바스 정말 예상했던것 이상으로 너무 맛있어요
합정 올때마다 올거에용♥ <>증말 맛도리 대박입니당 왠만하면 2차로 자리 이동하는데 안주가 너무 맛있어서 계속 시키게 돼요. 타르타르 꼭 드셔야 하고, 메뉴판에 없는 사이드도 넘 맛있어요!! 3명 이상이 와서 안주 다 맛봐야 함 ㅠㅠ<>치킨가라아게 맛있었는데 2차로 온거라 많이 못먹어서 아쉬웠어요ㅠㅠ다음엔 다른것도 먹어보고싶어요ㅋㅋㅋ안주에맞는 술도 추천해주시고 친절하셔서 좋았어용ㅋㅋㅋ<>안주도 맛있고 친절하게 전통주 설명해주시면서 추천해주셔서 맛있게 먹었어요!<>2시간 시간제한이 있어요. 가게가 많이 크지않아서 그런거같아요. 전
통주전문 매장이라 다양한 종류의 전통주가있고 사장님이 안주에 잘 
어울리는 술로 페어링해주셔서 어려움없이 좋은 술 주문해서 ...<>안주가 정말 맛있고 술이 다양해요
조개탕에 파스타 꼭 먹ㅇㅓ야해요 존맛탱<>진짜 인생맛집 ...  정말 진짜 너무 저만 알고 싶은 집이에요  안주, 술 
빠지지 않아요...  지금 후기 쓰면서도 너무 알려주기 싫은 그런곳... 사
장님 사랑합니다...결혼 하셨다면 세컨드라도.. <>다른 술집들과 다르게 안주가 맛있고 전통주가 많아요! 셰프님께서 안주랑 전통주랑 페어링을 잘 해주셔서 감사했습니다~ <>맛있고 친절해요 자주 갑니다<>처음 방문했는데 분위기도 좋고 청결하고 메뉴와 주류에 대한 설명도 자세하고 친절하게 해주셔서 덕분에 좋은 시간 보냈습니다! 맛있어요<>술 종류도 엄청 다양하고 조개탕 맛있어요!!<>음식 맛있어요 사람이 많아요<>분위기 너무 좋고 술이 다양해서 좋아요~! 사장님이 안주에 맞는 전통주도 추천해주셔서 맛있게 먹었어요♥️<>너무 맛있어요<>감바스 미쳤어요… 제 인생 감바스 ㅠㅠㅠ 자주 먹으러가요<>친절하고 음식도 맛있어요<>비프 타르타르 진짜 맛있어효 ㅠㅠㅠ <>평범한 안주랑 술은 없는곳.특별한맛만존재하는곳!!!안주다뿌시고왔
는데 아직 몇개더남아서다시갈게요ㅋㅋㅋ사장님 직접 나오셔서 술 
진지하게 설명하고 추천주셔서 갬동플러스입니다 손님이 많으...<>인생 감바스에요... 진짜 너무너무 맛있게 먹었습니다. 술도 추천해주셔서 너무 맛있게 먹구 담에 또 오고 싶은 맛이에요,,,, 진짜 담에 또 오겠습니다<>안주가 너무너무 맛있고 정말 친절하세요! 조개탕 드시면 파스타 추가 꼭 해드세요!! 존맛탱 ㅎㅎ 화장실도 깨끗합니다! 추천!<>새우도 완전 크고 맛도 깔끔해요!
술이 종류가 다양해서 평범한 술에 질렸을 때 오면 좋을꺼같아욜<>진짜 안주 너무 맛있구요 ! 술도 너무 맛나고 행복한 시간이었어요ㅠㅠ 비프타르타르는 꼭 드세요ㅠ<>친절하고 맛있어서 자주가서 먹어요<>두번째 오는데 너무좋아요 사장님이 술도 추천해주시고 친절합니다 추천추천🥹🥹🥹🥹<>안주가 맛있어요!
신선한 재료로 만든 메뉴도 추천해주시고, 
국산술만 있는것도 신선하고 좋았습니다!<>안주 너무 맛있고 사장님이 친절하십니다💕<>사장님이 친절하시고 음식이 맛있어요
특히 감바스랑 치킨이 맛있어요~~~!~!~!~!~!<>한달에 몇번씩가서 먹어요 깔끔하니 죠아요<>사장님이 설명도 너무 잘해주시고 메뉴들이 다 너무 맛있어요!!!!! 코코넛 하이볼 짱~~~<>다양한 술 종류와  지이인짜 맛있는 안주까지 진짜 기가막힙니다,,,! 조개탕 꼭 드세요,, 국물 진짜 텀블러에 담아서 먹고 파요,,!<>사장님이 셰프출신이라 그런가 음식도 깔끔하고 친근하고 너무 좋아요 인테리어소품도 신경을 많이 써서 소소하게 귀여운 포인트들이 많아요. 이성이랑 오면 되게 칭찬받을 것 같아요<>음식 맛있어요 자주가서 먹고 있습니다",https://m.place.naver.com/restaurant/1123939571/home
엄마밥상,"한식>백반,가정식",경기도 수원시 장안구 파장동 267-1,경기도 수원시 장안구 경수대로1078번길 17-1 경진만물전자,4.28,"잘 먹었습니다 
감사합니다<>매콤해물순두부 먹었습니다 국산 콩으로 만들어졌으며 매콤얼큰한 
맛입니다 거기에 간이 적절한 양념의 반찬들로 구성되어 건강하게 식
사가능합니다<>된장찌개 먹었습니다
한끼가 풍족하며 건강한 밥상입니다<>점심으로 좋아요. 깨끗하고 음식도 맛있어요<>가격 좀 있어요.
반찬 좋고 .공간이 조금더 넓으면 좋으련만..조금 아쉬워요.<>압구정에서 간단히 먹을수 있는 곳이에요<>우연히지나가다 들린곳인데 먹을만합니다.<>음식은 그럭저럭 맛이 있는데 사장님인지 남자분 카운트에 계시던데 
불친절 하시네요… 그래서 가기가 싫어졌어요.<>반찬도 맛있고 음식도 괜찮았는데
카운트에 있는 사장님은 약간 불친절하시네요. 그날만 안 좋은 일이 있으셔서 그럴 수도 있지만, 그래도 서비스직인데 별로네요.<>음식은 괜찮은데 카운터에 계신분이 약간 불친절하시네요<>사장이 불친절..맛도 별로<>맛있고 좋아요<>굿<>맛있어요<>굿<>맛있어요!!<>굿<>맛있어요<>밥값이 만만치 않아요 
밥찬은 맛있네요 <>굳<>👍<>맛있게 잘 먹었어요!<>굿<>ㅡ<>맛잇어여<>굿<>👍👍👍<>맛있어요<>굿<>굿초이스<>😀😀😀😀<>맛있어요~<>진짜 엄마밥상이네요. 맛은 괜찮은데 가성비가 좋진 않아요,,, 주차불
가입니다. 발렛비 3처넌~<>버섯들깨탕 먹었습니다
나오는데 10분 걸렸으며 양이 많으며
고소하고 담백해서 건강해지는 맛입니다.<>푸짐하고 맛있어요<>굿<>맛나군여<>굿<>처음 가본 곳인데 맛도 좋고 주인도 친절하고 좋았어요<>그냥 그래요..<>근처에 있는 압구정뷰티주치의 스케줄클리닉 김성진원장입니다 
맛있어요 부담없이 점심 먹기 너무 좋은 곳^^<>음식은 맛있는데 서비스인력이 적정보다 부족해서 인지전반적으로 느리고 반찬 리필 등도 상당히 어려워요.위치가 위치인지라 가격은 좀 세서 가성비가 좋은편은 아니예요.<>굿<>좋아요!<>집밥이 그리울때 엄마밥상!!!<>말그대로 엄마밥상<>맛있어 요<>가끔 한식 먹고 싶을 때마다 가요~",https://m.place.naver.com/restaurant/20118729/home
행복한밥상,"한식>백반,가정식",경기도 수원시 장안구 조원동 774-2,경기도 수원시 장안구 송정로 164,0.0,"제육볶음 먹었는데, 메인인 제육부터 반찬이며 야채며 된장찌개며 너무 대접받는 느낌으로 맛있게 먹었어요. 너무 맛있었어요.<>정성스런 집밥 대접받는 기분! 너무 좋아요,  신선한 쌈야채많이 먹을 수 있어 행복해요.<>맛 괜찮아요~ 한식집! 쌈밥집. 근데 양이 좀더 많았으면 해요 가격에비해 양이 ㅠㅠ<>간이 짜지않고 맛있어요<>싱싱한 쌈채소 좋아요~ 추가 공깃밥 무료에요. 반찬도 깔끔하고요. 무엇보다 친절! 편안하게 식사할 수 있어서 좋았어요. 저희 식구들은 착한 식당이라고 불러요~ 종종 와서 먹습니다. 번창하시길 바래요~<>음식 깔끔해요<>음식이 깔끔하고 우렁쌈밥 맛있게 잘먹았습니다. <>자리 이전하면서 가게가 넓어져서 넘 좋아요. 
다먹고나면 숭늉주시는데 배부른데 이게 또 들어갑니다ㅋㅋㅋ 맛있어요~<>이전했네요~
부자되세요~^^<>깨끗하고 음식이 맛있어요 <>👍👍👍<>👍👍👍<>굿 <>좋아여<>굿",https://m.place.naver.com/restaurant/1142772099/home
