title,link,category,description,telephone,address,roadAddress,mapx,mapy,search_input,split_list,input_search,stores_url,file_names
마북173,,"음식점>카페,디저트",,,"경기도 용인시 기흥구 마북동  173 JK프라자 101호,102호,201호,202호,203호","경기도 용인시 기흥구 마북로 141 JK프라자 101호,102호,201호,202호,203호",322412,522721,경기도 용인시 기흥구 구성동 빙수,"카페,디저트",경기도 용인시 기흥구 구성동 마북173,https://m.map.naver.com/search2/search.naver?query=경기도%20용인시%20기흥구%20구성동%20마북173&sm=hty&style=v5#/list,마북173.jpg
카페비앙코,http://www.instagram.com/_cafebianco,"음식점>카페,디저트",,,경기도 용인시 기흥구 중동 838 호수층 B158호,경기도 용인시 기흥구 동백5로 22 호수층 B158호,324925,519700,경기도 용인시 기흥구 구성동 빙수,"카페,디저트",경기도 용인시 기흥구 구성동 카페비앙코,https://m.map.naver.com/search2/search.naver?query=경기도%20용인시%20기흥구%20구성동%20카페비앙코&sm=hty&style=v5#/list,카페비앙코.jpg
메이스 카페,https://blog.naver.com/sunshine_sjy,"음식점>카페,디저트",,,"경기도 용인시 기흥구 청덕동 551-7 1층, 메이스 카페","경기도 용인시 기흥구 구성2로5번길 21 1층, 메이스 카페",324538,521432,경기도 용인시 기흥구 구성동 샌드위치,"카페,디저트",경기도 용인시 기흥구 구성동 메이스 카페,https://m.map.naver.com/search2/search.naver?query=경기도%20용인시%20기흥구%20구성동%20메이스%20카페&sm=hty&style=v5#/list,메이스 카페.jpg
몬띠카페 구성점,,"카페,디저트>카페",,,경기도 용인시 기흥구 언남동 336-1,경기도 용인시 기흥구 용인향교로 8,322155,521839,경기도 용인시 기흥구 구성동 샌드위치,카페,경기도 용인시 기흥구 구성동 몬띠카페 구성점,https://m.map.naver.com/search2/search.naver?query=경기도%20용인시%20기흥구%20구성동%20몬띠카페%20구성점&sm=hty&style=v5#/list,몬띠카페 구성점.jpg
탐앤탐스 용인구성점,https://tomntoms.com/,"카페,디저트>카페",,,경기도 용인시 기흥구 언남동 412-4,경기도 용인시 기흥구 구성로 84,322076,521760,경기도 용인시 기흥구 구성동 스파게티,카페,경기도 용인시 기흥구 구성동 탐앤탐스 용인구성점,https://m.map.naver.com/search2/search.naver?query=경기도%20용인시%20기흥구%20구성동%20탐앤탐스%20용인구성점&sm=hty&style=v5#/list,탐앤탐스 용인구성점.jpg
파리바게뜨 청덕점,,"카페,디저트>베이커리",,,경기도 용인시 기흥구 청덕동 502-4,경기도 용인시 기흥구 구성3로28번길 24 가나프라자1차,325019,521847,경기도 용인시 기흥구 구성동 제과,베이커리,경기도 용인시 기흥구 구성동 파리바게뜨 청덕점,https://m.map.naver.com/search2/search.naver?query=경기도%20용인시%20기흥구%20구성동%20파리바게뜨%20청덕점&sm=hty&style=v5#/list,파리바게뜨 청덕점.jpg
파리바게뜨 용인언남점,https://www.paris.co.kr/,"카페,디저트>베이커리",,,경기도 용인시 기흥구 언남동 414-7,경기도 용인시 기흥구 구성로 94 (언남동),322139,521712,경기도 용인시 기흥구 구성동 제과,베이커리,경기도 용인시 기흥구 구성동 파리바게뜨 용인언남점,https://m.map.naver.com/search2/search.naver?query=경기도%20용인시%20기흥구%20구성동%20파리바게뜨%20용인언남점&sm=hty&style=v5#/list,파리바게뜨 용인언남점.jpg
어반런드렛 더 테라스,https://urbanlaunderette.com/,"카페,디저트>카페",,,경기도 용인시 기흥구 보정동 614-8 1층,경기도 용인시 기흥구 용구대로2469번길 47 1층,320852,523598,경기도 용인시 기흥구 구성동 초콜렛,카페,경기도 용인시 기흥구 구성동 어반런드렛 더 테라스,https://m.map.naver.com/search2/search.naver?query=경기도%20용인시%20기흥구%20구성동%20어반런드렛%20더%20테라스&sm=hty&style=v5#/list,어반런드렛 더 테라스.jpg
ER COFFEE&ROASTED,https://www.instagram.com/ercoffeeroasted/,"카페,디저트>카페",,,경기도 용인시 기흥구 언남동 375-4 2층 ER COFFEE&ROASTED,경기도 용인시 기흥구 구성로 70 2층 ER COFFEE&ROASTED,321924,521784,경기도 용인시 기흥구 구성동 카페,카페,경기도 용인시 기흥구 구성동 ER COFFEE&ROASTED,https://m.map.naver.com/search2/search.naver?query=경기도%20용인시%20기흥구%20구성동%20ER%20COFFEE&ROASTED&sm=hty&style=v5#/list,ER COFFEE&ROASTED.jpg
이디야 커피  용인물푸레마을점,http://www.ediya.com/,"카페,디저트>카페",,,경기도 용인시 기흥구 청덕동 502-6,경기도 용인시 기흥구 구성3로28번길 20 가나프라자2차,325022,521823,경기도 용인시 기흥구 구성동 커피전문,카페,경기도 용인시 기흥구 구성동 이디야 커피  용인물푸레마을점,https://m.map.naver.com/search2/search.naver?query=경기도%20용인시%20기흥구%20구성동%20이디야%20커피%20%20용인물푸레마을점&sm=hty&style=v5#/list,이디야 커피  용인물푸레마을점.jpg
